Number,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24hr), 1h, 24h, 7d
1,Bitcoin,BTC,,8940.74,16855762,8103300000,-0.63,11.22,3.58
2,Ethereum,ETH,87546972836,897.729,97520490.97,3062570000,-0.41,11.99,-0.25
3,Ripple,XRP,40627708203,1.04149,39009215838,2504810000,-0.37,32.86,23.94
4,Bitcoin Cash,BCH,22946391403,1353.04,16959137.5,1149550000,0.11,7.89,18.32
5,Cardano,ADA,11637287830,0.448847,25927070538,760372000,-0.71,27.62,23.61
6,Litecoin,LTC,9109557125,165.179,55149608.15,769065000,-1.62,13.37,28.81
7,Stellar,XLM,8047185802,0.436583,18432201441,212032000,0.05,21.88,14.83
8,NEO,NEO,7740330000,119.082,65000000,304126000,-1.08,6.72,2.78
9,EOS,EOS,6547180860,9.92927,659381894.2,606048000,-1.05,19.34,6.47
10,IOTA,MIOTA,5585632876,2.00956,2779530283,59312900,-0.29,15.06,14.81
11,NEM,XEM,5516504999,0.612945,8999999999,75265600,-0.73,14.66,10.43
12,Dash,DASH,5210212762,661.606,7875099.019,110256000,0,12.34,15.89
13,Monero,XMR,4181761227,266.286,15704022.09,85910600,-0.14,11,14.78
14,TRON,TRX,3550948104,0.0540083,65748192476,462272000,-0.79,51.31,40.5
15,Lisk,LSK,3515094194,29.8126,117906328,126825000,-2.02,25.47,43.6
16,Bitcoin Gold,BTG,2739809866,162.937,16815148.59,106877000,-1.61,45.68,54.81
17,Ethereum Classic,ETC,2592309824,25.9893,99745273,386020000,-0.83,16.59,16.57
18,Qtum,QTUM,2411725390,32.648,73870540,506665000,-2.18,10.36,15.75
19,Tether,USDT,2229179888,1.00543,2217140814,2196860000,0.45,-0.29,1
20,VeChain,VEN,2210556739,4.74301,466066219.3,57655300,0.32,14.07,-1.95
21,ICON,ICX,1732902952,4.5424,381495014,51529600,-1.99,8.22,-11.03
22,Zcash,ZEC,1608221211,495.511,3245581.25,129194000,-1.65,20.49,35.12
23,OmiseGO,OMG,1363094611,13.3581,102042551.8,41297300,-0.94,11.93,3.73
24,Nano,XRB,1354682057,10.1666,133248289.2,55764700,-2,-6.85,-36.55
25,Populous,PPT,1262203657,34.1099,37004026.89,13025400,0.36,4.46,-36.95
26,Steem,STEEM,1131932190,4.54244,249190344.8,62147800,-1.15,11.69,13.05
27,Binance Coin,BNB,984926912.9,9.94735,99014000,95858600,-3.56,17.74,6.69
28,Bytecoin,BCN,925831659.2,0.00503942,1.84E+11,6730950,-1.83,15.08,11.78
29,Status,SNT,897824567.4,0.258703,3470483788,341355000,0.49,20.92,59.91
30,Verge,XVG,866455937.1,0.0594398,14577033186,29734200,-3.22,18.13,11.59
31,Stratis,STRAT,843833234.9,8.54648,98734594.23,16280800,-0.66,19.13,-4.05
32,Siacoin,SC,842238770.9,0.026016,32373876495,27132100,-5.02,22.52,2.09
33,BitShares,BTS,706362744.4,0.270801,2608420000,28385000,-0.66,19.74,-13.2
34,Maker,MKR,688798470.1,1114.15,618227.7701,722157,-1.94,12.77,-0.77
35,Aeternity,AE,682216366.4,2.92771,233020472.1,8714960,0.17,5.33,13.36
36,Augur,REP,641121800,58.2838,11000000,6368040,-0.55,15.24,6.32
37,Walton,WTC,628248256,25.2327,24898178,8871200,0.17,15.06,3.73
38,Waves,WAVES,609998000,6.09998,100000000,25452900,-0.45,12.77,0.48
39,Veritaseum,VERI,597030390.9,293.144,2036645.44,122630,-0.88,9.66,-12.8
40,0x,ZRX,592685118.1,1.16861,507171013.5,10943200,-1.49,12.98,-6.23
41,Dogecoin,DOGE,587683690,0.00519463,1.13E+11,12385000,0.24,17.85,17.53
42,KuCoin Shares,KCS,569148506.2,6.25142,91043076,3438660,-1.3,10.99,-5.49
43,Hshare,HSR,556692466.8,13.0664,42604884.8,81463400,-2.04,24.35,17.05
44,DigixDAO,DGD,554990000,277.495,2000000,17205200,1.63,-1.52,-32.53
45,Decred,DCR,545112519.4,81.0426,6726246.682,1796600,-1.55,10.75,2.64
46,Ardor,ARDR,535035158.5,0.535571,998999495,45230800,-1.16,13.26,10.38
47,RChain,RHOC,509627674,1.48076,344166288.9,856304,-5.14,8.02,-7.38
48,Komodo,KMD,479490819.5,4.64688,103185539.4,3997260,0.4,15.63,6.9
49,Revain,R,461023552.5,2.49945,184450000,12486500,0.61,34.04,76.86
50,Kyber Network,KNC,455760101.6,3.39783,134132696.9,10372700,-0.29,13.43,2.52
51,Ark,ARK,450626532.1,4.48229,100534890,7665200,-0.94,12.13,0.01
52,Electroneum,ETN,435124502.6,0.0712286,6108845360,2472920,-2.28,10.01,2.63
53,Dentacoin,DCN,420290352.1,0.0012923,3.25E+11,803471,2.24,22.82,8.02
54,Gas,GAS,412155924.5,42.5861,9678179.605,7343900,-2.94,6.04,-7.38
55,Loopring,LRC,406355887.4,0.724081,561202251.4,2441350,1.18,16.88,-4.09
56,Dragonchain,DRGN,401342804.3,1.68333,238421940,2341520,1.37,15.75,-5.54
57,Basic Attenti...,BAT,395683000,0.395683,1000000000,5664240,-0.61,8.55,-3.04
58,DigiByte,DGB,393930290.1,0.0401137,9820342927,9428010,-1.48,25.63,-0.85
59,Zilliqa,ZIL,392312341.6,0.0602724,6508988220,16555000,-0.83,6.38,-14.6
60,Bytom,BTM,362024691,0.366793,987000000,18208800,-0.19,26.72,10.47
61,Ethos,ETHOS,353264749.2,4.67274,75601199.56,4764270,-2.18,13.9,24.44
62,ZClassic,ZCL,352763462,107.54,3280300,5273590,-1.27,16.06,6.35
63,PIVX,PIVX,349652337.3,6.29676,55528928.73,16431900,-1.43,15.77,9.74
64,Byteball Bytes,GBYTE,345367363.1,535.269,645222.0529,731279,-2.87,25.93,-1.36
65,QASH,QASH,339854200,0.971012,350000000,4278500,-0.54,18.05,5.57
66,aelf,ELF,335467500,1.34187,250000000,46897700,-0.48,10.4,-12.92
67,Nebulas,NAS,314860505,8.86931,35500000,8193650,-0.88,16.44,0.73
68,E-coin,ECN,311295823.9,62.4938,4981227.32,451915,4,47.43,1015.03
69,Pillar,PLR,305275463.2,1.34255,227384800,476964,-3.28,1.42,-0.72
70,Golem,GNT,302240608.7,0.362285,834262000,5603580,-1.11,15.43,0.1
71,IOStoken,IOST,301655083.5,0.0443995,6794109922,46410900,-2.63,20.74,0.52
72,Cryptonex,CNX,295825068.4,6.55827,45107180.46,238955,-4.77,9.65,4.74
73,Dent,DENT,293886640.8,0.0276866,10614760961,4172390,-0.77,10,18.12
