date,position,song,artist,popularity
2023-04-17,1,Tattoo,Loreen,84
2023-04-17,2,Queen of Kings,Alessandra,80
2023-04-17,3,Due Vite,Marco Mengoni,79
2023-04-17,4,Cha Cha Cha,Käärijä,74
2023-04-17,5,I Wrote A Song,Mae Muller,71
2023-04-17,6,Évidemment,La Zarra,70
2023-04-17,7,Unicorn,Noa Kirel,69
2023-04-17,8,Solo,BLANKA,69
2023-04-17,9,Burning Daylight,Mia Nicolai,68
2023-04-17,10,Who the Hell Is Edgar?,TEYA,67
2023-04-17,11,My Sister's Crown,Vesna,67
2023-04-17,12,Because Of You,Gustaph,63
2023-04-17,13,Future Lover,Brunette,62
2023-04-17,14,Carpe Diem,Joker Out,62
2023-04-17,15,EAEA,Blanca Paloma,62
2023-04-17,16,Samo mi se spava,Luke Black,61
2023-04-17,17,Watergun,Remo Forrer,61
2023-04-17,18,Heart of Steel - Eurovision Version,TVORCHI,60
2023-04-17,19,Soarele si Luna,Pasha Parfeni,60
2023-04-17,20,Ai Coração,Various Artists,60
2023-04-17,21,Breaking My Heart,Reiley,60
2023-04-17,22,Break a Broken Heart,Andrew Lambrou,60
2023-04-17,23,Bridges,ALIKA,59
2023-04-17,24,Promise,Voyager,59
2023-04-17,25,POWER,Diljá,58
2023-04-17,26,Aijā,Sudden Lights,58
2023-04-17,27,Mama ŠČ!,Let 3,58
2023-04-17,28,Echo - Eurovision 2023 - Georgia,Iru,57
2023-04-17,29,Dance (Our Own Party),The Busker,57
2023-04-17,30,We Are One,Wild Youth,57
2023-04-17,31,Blood & Glitter,Lord Of The Lost,56
2023-04-17,32,What They Say,Victor Vernicos,56
2023-04-17,33,Stay,Monika Linkyte,55
2023-04-17,34,D.G.T (Off And On),Theodor Andrei,55
2023-04-17,35,Tell Me More,TuralTuranX,54
2023-04-17,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-04-17,37,Like an Animal,Piqued Jacks,46
