date,position,song,artist,popularity
2023-04-14,1,Tattoo,Loreen,84
2023-04-14,2,Queen of Kings,Alessandra,80
2023-04-14,3,Due Vite,Marco Mengoni,79
2023-04-14,4,Cha Cha Cha,Käärijä,74
2023-04-14,5,I Wrote A Song,Mae Muller,71
2023-04-14,6,Évidemment,La Zarra,69
2023-04-14,7,Unicorn,Noa Kirel,69
2023-04-14,8,Solo,BLANKA,68
2023-04-14,9,Burning Daylight,Mia Nicolai,68
2023-04-14,10,Who the Hell Is Edgar?,TEYA,67
2023-04-14,11,My Sister's Crown,Vesna,67
2023-04-14,12,EAEA,Blanca Paloma,62
2023-04-14,13,Because Of You,Gustaph,62
2023-04-14,14,Future Lover,Brunette,61
2023-04-14,15,Carpe Diem,Joker Out,61
2023-04-14,16,Samo mi se spava,Luke Black,61
2023-04-14,17,Heart of Steel - Eurovision Version,TVORCHI,60
2023-04-14,18,Soarele si Luna,Pasha Parfeni,60
2023-04-14,19,Watergun,Remo Forrer,60
2023-04-14,20,Breaking My Heart,Reiley,60
2023-04-14,21,Break a Broken Heart,Andrew Lambrou,60
2023-04-14,22,Ai Coração,Various Artists,59
2023-04-14,23,Bridges,ALIKA,59
2023-04-14,24,Promise,Voyager,59
2023-04-14,25,Mama ŠČ!,Let 3,58
2023-04-14,26,POWER,Diljá,57
2023-04-14,27,Dance (Our Own Party),The Busker,57
2023-04-14,28,We Are One,Wild Youth,57
2023-04-14,29,Aijā,Sudden Lights,57
2023-04-14,30,Echo - Eurovision 2023 - Georgia,Iru,56
2023-04-14,31,Blood & Glitter,Lord Of The Lost,56
2023-04-14,32,Stay,Monika Linkyte,55
2023-04-14,33,What They Say,Victor Vernicos,55
2023-04-14,34,Tell Me More,TuralTuranX,54
2023-04-14,35,D.G.T (Off And On),Theodor Andrei,54
2023-04-14,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-04-14,37,Like an Animal,Piqued Jacks,43
