date,position,song,artist,popularity
2023-04-28,1,Tattoo,Loreen,84
2023-04-28,2,Queen of Kings,Alessandra,80
2023-04-28,3,Due Vite,Marco Mengoni,78
2023-04-28,4,Cha Cha Cha,Käärijä,74
2023-04-28,5,I Wrote A Song,Mae Muller,71
2023-04-28,6,Évidemment,La Zarra,70
2023-04-28,7,Solo,BLANKA,70
2023-04-28,8,Unicorn,Noa Kirel,68
2023-04-28,9,Burning Daylight,Mia Nicolai,68
2023-04-28,10,Who the Hell Is Edgar?,TEYA,67
2023-04-28,11,My Sister's Crown,Vesna,67
2023-04-28,12,Future Lover,Brunette,63
2023-04-28,13,Because Of You,Gustaph,63
2023-04-28,14,Carpe Diem,Joker Out,62
2023-04-28,15,EAEA,Blanca Paloma,62
2023-04-28,16,Heart of Steel - Eurovision Version,TVORCHI,61
2023-04-28,17,Soarele si Luna,Pasha Parfeni,61
2023-04-28,18,Samo mi se spava,Luke Black,61
2023-04-28,19,Watergun,Remo Forrer,61
2023-04-28,20,Ai Coração,Various Artists,60
2023-04-28,21,Breaking My Heart,Reiley,60
2023-04-28,22,Break a Broken Heart,Andrew Lambrou,60
2023-04-28,23,Bridges,ALIKA,59
2023-04-28,24,Promise,Voyager,59
2023-04-28,25,Echo - Eurovision 2023 - Georgia,Iru,58
2023-04-28,26,POWER,Diljá,58
2023-04-28,27,Dance (Our Own Party),The Busker,58
2023-04-28,28,Aijā,Sudden Lights,58
2023-04-28,29,Mama ŠČ!,Let 3,58
2023-04-28,30,We Are One,Wild Youth,57
2023-04-28,31,Blood & Glitter,Lord Of The Lost,57
2023-04-28,32,Stay,Monika Linkyte,56
2023-04-28,33,What They Say,Victor Vernicos,56
2023-04-28,34,Tell Me More,TuralTuranX,55
2023-04-28,35,D.G.T (Off And On),Theodor Andrei,55
2023-04-28,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-04-28,37,Like an Animal,Piqued Jacks,50
