date,position,song,artist,popularity
2023-04-29,1,Tattoo,Loreen,84
2023-04-29,2,Queen of Kings,Alessandra,79
2023-04-29,3,Due Vite,Marco Mengoni,78
2023-04-29,4,Cha Cha Cha,Käärijä,74
2023-04-29,5,I Wrote A Song,Mae Muller,71
2023-04-29,6,Évidemment,La Zarra,70
2023-04-29,7,Solo,BLANKA,70
2023-04-29,8,Unicorn,Noa Kirel,68
2023-04-29,9,Burning Daylight,Mia Nicolai,68
2023-04-29,10,Who the Hell Is Edgar?,TEYA,67
2023-04-29,11,My Sister's Crown,Vesna,67
2023-04-29,12,Future Lover,Brunette,63
2023-04-29,13,Because Of You,Gustaph,63
2023-04-29,14,Carpe Diem,Joker Out,62
2023-04-29,15,EAEA,Blanca Paloma,62
2023-04-29,16,Soarele si Luna,Pasha Parfeni,61
2023-04-29,17,Samo mi se spava,Luke Black,61
2023-04-29,18,Watergun,Remo Forrer,61
2023-04-29,19,Heart of Steel - Eurovision Version,TVORCHI,60
2023-04-29,20,Ai Coração,Various Artists,60
2023-04-29,21,Breaking My Heart,Reiley,60
2023-04-29,22,Break a Broken Heart,Andrew Lambrou,60
2023-04-29,23,Bridges,ALIKA,59
2023-04-29,24,Promise,Voyager,59
2023-04-29,25,Echo - Eurovision 2023 - Georgia,Iru,58
2023-04-29,26,POWER,Diljá,58
2023-04-29,27,Dance (Our Own Party),The Busker,58
2023-04-29,28,Aijā,Sudden Lights,58
2023-04-29,29,We Are One,Wild Youth,57
2023-04-29,30,Mama ŠČ!,Let 3,57
2023-04-29,31,Blood & Glitter,Lord Of The Lost,56
2023-04-29,32,What They Say,Victor Vernicos,56
2023-04-29,33,Stay,Monika Linkyte,55
2023-04-29,34,Tell Me More,TuralTuranX,55
2023-04-29,35,D.G.T (Off And On),Theodor Andrei,55
2023-04-29,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-04-29,37,Like an Animal,Piqued Jacks,51
