date,position,song,artist,popularity
2023-05-05,1,Tattoo,Loreen,84
2023-05-05,2,Queen of Kings,Alessandra,79
2023-05-05,3,Due Vite,Marco Mengoni,77
2023-05-05,4,Cha Cha Cha,Käärijä,74
2023-05-05,5,I Wrote A Song,Mae Muller,70
2023-05-05,6,Évidemment,La Zarra,70
2023-05-05,7,Solo,BLANKA,70
2023-05-05,8,Unicorn,Noa Kirel,68
2023-05-05,9,Burning Daylight,Mia Nicolai,68
2023-05-05,10,Who the Hell Is Edgar?,TEYA,67
2023-05-05,11,My Sister's Crown,Vesna,67
2023-05-05,12,Future Lover,Brunette,63
2023-05-05,13,Because Of You,Gustaph,63
2023-05-05,14,Carpe Diem,Joker Out,62
2023-05-05,15,Heart of Steel - Eurovision Version,TVORCHI,61
2023-05-05,16,Soarele si Luna,Pasha Parfeni,61
2023-05-05,17,Watergun,Remo Forrer,61
2023-05-05,18,Samo mi se spava,Luke Black,61
2023-05-05,19,EAEA,Blanca Paloma,61
2023-05-05,20,Ai Coração,Various Artists,60
2023-05-05,21,Break a Broken Heart,Andrew Lambrou,60
2023-05-05,22,Breaking My Heart,Reiley,60
2023-05-05,23,Promise,Voyager,59
2023-05-05,24,Echo - Eurovision 2023 - Georgia,Iru,59
2023-05-05,25,Bridges,ALIKA,59
2023-05-05,26,Dance (Our Own Party),The Busker,58
2023-05-05,27,POWER,Diljá,58
2023-05-05,28,Aijā,Sudden Lights,58
2023-05-05,29,We Are One,Wild Youth,57
2023-05-05,30,Blood & Glitter,Lord Of The Lost,57
2023-05-05,31,Mama ŠČ!,Let 3,57
2023-05-05,32,Stay,Monika Linkyte,56
2023-05-05,33,What They Say,Victor Vernicos,56
2023-05-05,34,Tell Me More,TuralTuranX,55
2023-05-05,35,D.G.T (Off And On),Theodor Andrei,55
2023-05-05,36,Like an Animal,Piqued Jacks,52
2023-05-05,37,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
