date,position,song,artist,popularity
2023-05-12,1,Tattoo,Loreen,85
2023-05-12,2,Queen of Kings,Alessandra,80
2023-05-12,3,Due Vite,Marco Mengoni,77
2023-05-12,4,Cha Cha Cha,Käärijä,76
2023-05-12,5,I Wrote A Song,Mae Muller,72
2023-05-12,6,Évidemment,La Zarra,72
2023-05-12,7,Solo,BLANKA,72
2023-05-12,8,Unicorn,Noa Kirel,71
2023-05-12,9,Burning Daylight,Mia Nicolai,70
2023-05-12,10,Who the Hell Is Edgar?,TEYA,69
2023-05-12,11,My Sister's Crown,Vesna,69
2023-05-12,12,Future Lover,Brunette,66
2023-05-12,13,Watergun,Remo Forrer,66
2023-05-12,14,Heart of Steel - Eurovision Version,TVORCHI,65
2023-05-12,15,Soarele si Luna,Pasha Parfeni,65
2023-05-12,16,Carpe Diem,Joker Out,65
2023-05-12,17,Samo mi se spava,Luke Black,65
2023-05-12,18,Because Of You,Gustaph,65
2023-05-12,19,Ai Coração,Various Artists,64
2023-05-12,20,EAEA,Blanca Paloma,64
2023-05-12,21,Break a Broken Heart,Andrew Lambrou,63
2023-05-12,22,Promise,Voyager,62
2023-05-12,23,Bridges,ALIKA,62
2023-05-12,24,Breaking My Heart,Reiley,62
2023-05-12,25,Dance (Our Own Party),The Busker,62
2023-05-12,26,Mama ŠČ!,Let 3,61
2023-05-12,27,POWER,Diljá,61
2023-05-12,28,Echo - Eurovision 2023 - Georgia,Iru,61
2023-05-12,29,We Are One,Wild Youth,61
2023-05-12,30,Aijā,Sudden Lights,61
2023-05-12,31,Blood & Glitter,Lord Of The Lost,60
2023-05-12,32,Stay,Monika Linkyte,59
2023-05-12,33,What They Say,Victor Vernicos,59
2023-05-12,34,Tell Me More,TuralTuranX,59
2023-05-12,35,D.G.T (Off And On),Theodor Andrei,58
2023-05-12,36,Like an Animal,Piqued Jacks,56
2023-05-12,37,Duje,Albina Kelmendi,47
