date,position,song,artist,popularity
2023-04-19,1,Tattoo,Loreen,84
2023-04-19,2,Queen of Kings,Alessandra,80
2023-04-19,3,Due Vite,Marco Mengoni,79
2023-04-19,4,Cha Cha Cha,Käärijä,74
2023-04-19,5,I Wrote A Song,Mae Muller,71
2023-04-19,6,Évidemment,La Zarra,70
2023-04-19,7,Unicorn,Noa Kirel,69
2023-04-19,8,Solo,BLANKA,69
2023-04-19,9,Burning Daylight,Mia Nicolai,68
2023-04-19,10,Who the Hell Is Edgar?,TEYA,67
2023-04-19,11,My Sister's Crown,Vesna,67
2023-04-19,12,Because Of You,Gustaph,63
2023-04-19,13,Future Lover,Brunette,62
2023-04-19,14,Carpe Diem,Joker Out,62
2023-04-19,15,EAEA,Blanca Paloma,62
2023-04-19,16,Samo mi se spava,Luke Black,61
2023-04-19,17,Watergun,Remo Forrer,61
2023-04-19,18,Heart of Steel - Eurovision Version,TVORCHI,60
2023-04-19,19,Soarele si Luna,Pasha Parfeni,60
2023-04-19,20,Ai Coração,Various Artists,60
2023-04-19,21,Breaking My Heart,Reiley,60
2023-04-19,22,Break a Broken Heart,Andrew Lambrou,60
2023-04-19,23,Bridges,ALIKA,59
2023-04-19,24,Promise,Voyager,59
2023-04-19,25,POWER,Diljá,58
2023-04-19,26,Aijā,Sudden Lights,58
2023-04-19,27,Mama ŠČ!,Let 3,58
2023-04-19,28,Echo - Eurovision 2023 - Georgia,Iru,57
2023-04-19,29,Dance (Our Own Party),The Busker,57
2023-04-19,30,We Are One,Wild Youth,57
2023-04-19,31,Blood & Glitter,Lord Of The Lost,56
2023-04-19,32,What They Say,Victor Vernicos,56
2023-04-19,33,Stay,Monika Linkyte,55
2023-04-19,34,D.G.T (Off And On),Theodor Andrei,55
2023-04-19,35,Tell Me More,TuralTuranX,54
2023-04-19,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-04-19,37,Like an Animal,Piqued Jacks,47
