date,position,song,artist,popularity
2023-04-21,1,Tattoo,Loreen,85
2023-04-21,2,Queen of Kings,Alessandra,80
2023-04-21,3,Due Vite,Marco Mengoni,79
2023-04-21,4,Cha Cha Cha,Käärijä,74
2023-04-21,5,I Wrote A Song,Mae Muller,71
2023-04-21,6,Évidemment,La Zarra,70
2023-04-21,7,Unicorn,Noa Kirel,69
2023-04-21,8,Solo,BLANKA,69
2023-04-21,9,Burning Daylight,Mia Nicolai,68
2023-04-21,10,Who the Hell Is Edgar?,TEYA,67
2023-04-21,11,My Sister's Crown,Vesna,67
2023-04-21,12,Future Lover,Brunette,63
2023-04-21,13,Because Of You,Gustaph,63
2023-04-21,14,Carpe Diem,Joker Out,62
2023-04-21,15,EAEA,Blanca Paloma,62
2023-04-21,16,Soarele si Luna,Pasha Parfeni,61
2023-04-21,17,Samo mi se spava,Luke Black,61
2023-04-21,18,Watergun,Remo Forrer,61
2023-04-21,19,Breaking My Heart,Reiley,61
2023-04-21,20,Heart of Steel - Eurovision Version,TVORCHI,60
2023-04-21,21,Ai Coração,Various Artists,60
2023-04-21,22,Bridges,ALIKA,60
2023-04-21,23,Break a Broken Heart,Andrew Lambrou,60
2023-04-21,24,Promise,Voyager,59
2023-04-21,25,POWER,Diljá,58
2023-04-21,26,Dance (Our Own Party),The Busker,58
2023-04-21,27,Aijā,Sudden Lights,58
2023-04-21,28,Mama ŠČ!,Let 3,58
2023-04-21,29,Echo - Eurovision 2023 - Georgia,Iru,57
2023-04-21,30,We Are One,Wild Youth,57
2023-04-21,31,Blood & Glitter,Lord Of The Lost,57
2023-04-21,32,Stay,Monika Linkyte,56
2023-04-21,33,What They Say,Victor Vernicos,56
2023-04-21,34,Tell Me More,TuralTuranX,55
2023-04-21,35,D.G.T (Off And On),Theodor Andrei,55
2023-04-21,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-04-21,37,Like an Animal,Piqued Jacks,48
