date,position,song,artist,popularity
2023-05-04,1,Tattoo,Loreen,84
2023-05-04,2,Queen of Kings,Alessandra,79
2023-05-04,3,Due Vite,Marco Mengoni,77
2023-05-04,4,Cha Cha Cha,Käärijä,74
2023-05-04,5,I Wrote A Song,Mae Muller,70
2023-05-04,6,Évidemment,La Zarra,70
2023-05-04,7,Solo,BLANKA,70
2023-05-04,8,Unicorn,Noa Kirel,68
2023-05-04,9,Burning Daylight,Mia Nicolai,68
2023-05-04,10,Who the Hell Is Edgar?,TEYA,67
2023-05-04,11,My Sister's Crown,Vesna,67
2023-05-04,12,Future Lover,Brunette,63
2023-05-04,13,Because Of You,Gustaph,63
2023-05-04,14,Carpe Diem,Joker Out,62
2023-05-04,15,Heart of Steel - Eurovision Version,TVORCHI,61
2023-05-04,16,Soarele si Luna,Pasha Parfeni,61
2023-05-04,17,Watergun,Remo Forrer,61
2023-05-04,18,Samo mi se spava,Luke Black,61
2023-05-04,19,EAEA,Blanca Paloma,61
2023-05-04,20,Ai Coração,Various Artists,60
2023-05-04,21,Break a Broken Heart,Andrew Lambrou,60
2023-05-04,22,Breaking My Heart,Reiley,60
2023-05-04,23,Promise,Voyager,59
2023-05-04,24,Bridges,ALIKA,59
2023-05-04,25,Dance (Our Own Party),The Busker,58
2023-05-04,26,POWER,Diljá,58
2023-05-04,27,Echo - Eurovision 2023 - Georgia,Iru,58
2023-05-04,28,Aijā,Sudden Lights,58
2023-05-04,29,We Are One,Wild Youth,57
2023-05-04,30,Mama ŠČ!,Let 3,57
2023-05-04,31,Blood & Glitter,Lord Of The Lost,56
2023-05-04,32,What They Say,Victor Vernicos,56
2023-05-04,33,Stay,Monika Linkyte,55
2023-05-04,34,Tell Me More,TuralTuranX,55
2023-05-04,35,D.G.T (Off And On),Theodor Andrei,55
2023-05-04,36,Like an Animal,Piqued Jacks,52
2023-05-04,37,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
