date,position,song,artist,popularity
2023-04-13,1,Tattoo,Loreen,84
2023-04-13,2,Queen of Kings,Alessandra,80
2023-04-13,3,Due Vite,Marco Mengoni,79
2023-04-13,4,Cha Cha Cha,Käärijä,74
2023-04-13,5,I Wrote A Song,Mae Muller,71
2023-04-13,6,Évidemment,La Zarra,69
2023-04-13,7,Unicorn,Noa Kirel,69
2023-04-13,8,Solo,BLANKA,68
2023-04-13,9,Who the Hell Is Edgar?,TEYA,67
2023-04-13,10,My Sister's Crown,Vesna,67
2023-04-13,11,Burning Daylight,Mia Nicolai,67
2023-04-13,12,EAEA,Blanca Paloma,62
2023-04-13,13,Because Of You,Gustaph,62
2023-04-13,14,Future Lover,Brunette,61
2023-04-13,15,Carpe Diem,Joker Out,61
2023-04-13,16,Samo mi se spava,Luke Black,61
2023-04-13,17,Heart of Steel - Eurovision Version,TVORCHI,60
2023-04-13,18,Soarele si Luna,Pasha Parfeni,60
2023-04-13,19,Watergun,Remo Forrer,60
2023-04-13,20,Breaking My Heart,Reiley,60
2023-04-13,21,Break a Broken Heart,Andrew Lambrou,60
2023-04-13,22,Ai Coração,Various Artists,59
2023-04-13,23,Bridges,ALIKA,59
2023-04-13,24,Promise,Voyager,58
2023-04-13,25,Mama ŠČ!,Let 3,58
2023-04-13,26,POWER,Diljá,57
2023-04-13,27,Dance (Our Own Party),The Busker,57
2023-04-13,28,We Are One,Wild Youth,57
2023-04-13,29,Aijā,Sudden Lights,57
2023-04-13,30,Blood & Glitter,Lord Of The Lost,56
2023-04-13,31,Echo - Eurovision 2023 - Georgia,Iru,55
2023-04-13,32,Stay,Monika Linkyte,55
2023-04-13,33,What They Say,Victor Vernicos,55
2023-04-13,34,Tell Me More,TuralTuranX,54
2023-04-13,35,D.G.T (Off And On),Theodor Andrei,54
2023-04-13,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-04-13,37,Like an Animal,Piqued Jacks,41
