date,position,song,artist,popularity
2023-05-06,1,Tattoo,Loreen,84
2023-05-06,2,Queen of Kings,Alessandra,79
2023-05-06,3,Due Vite,Marco Mengoni,77
2023-05-06,4,Cha Cha Cha,Käärijä,74
2023-05-06,5,I Wrote A Song,Mae Muller,70
2023-05-06,6,Évidemment,La Zarra,70
2023-05-06,7,Solo,BLANKA,70
2023-05-06,8,Unicorn,Noa Kirel,68
2023-05-06,9,Burning Daylight,Mia Nicolai,68
2023-05-06,10,Who the Hell Is Edgar?,TEYA,67
2023-05-06,11,My Sister's Crown,Vesna,67
2023-05-06,12,Future Lover,Brunette,63
2023-05-06,13,Because Of You,Gustaph,63
2023-05-06,14,Carpe Diem,Joker Out,62
2023-05-06,15,EAEA,Blanca Paloma,62
2023-05-06,16,Heart of Steel - Eurovision Version,TVORCHI,61
2023-05-06,17,Soarele si Luna,Pasha Parfeni,61
2023-05-06,18,Watergun,Remo Forrer,61
2023-05-06,19,Samo mi se spava,Luke Black,61
2023-05-06,20,Ai Coração,Various Artists,60
2023-05-06,21,Break a Broken Heart,Andrew Lambrou,60
2023-05-06,22,Breaking My Heart,Reiley,60
2023-05-06,23,Promise,Voyager,59
2023-05-06,24,Echo - Eurovision 2023 - Georgia,Iru,59
2023-05-06,25,Bridges,ALIKA,59
2023-05-06,26,Dance (Our Own Party),The Busker,58
2023-05-06,27,POWER,Diljá,58
2023-05-06,28,Aijā,Sudden Lights,58
2023-05-06,29,Mama ŠČ!,Let 3,58
2023-05-06,30,We Are One,Wild Youth,57
2023-05-06,31,Blood & Glitter,Lord Of The Lost,57
2023-05-06,32,Stay,Monika Linkyte,56
2023-05-06,33,What They Say,Victor Vernicos,56
2023-05-06,34,Tell Me More,TuralTuranX,55
2023-05-06,35,D.G.T (Off And On),Theodor Andrei,55
2023-05-06,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,53
2023-05-06,37,Like an Animal,Piqued Jacks,52
