date,position,song,artist,popularity
2023-04-20,1,Tattoo,Loreen,85
2023-04-20,2,Queen of Kings,Alessandra,80
2023-04-20,3,Due Vite,Marco Mengoni,79
2023-04-20,4,Cha Cha Cha,Käärijä,74
2023-04-20,5,I Wrote A Song,Mae Muller,71
2023-04-20,6,Évidemment,La Zarra,70
2023-04-20,7,Unicorn,Noa Kirel,69
2023-04-20,8,Solo,BLANKA,69
2023-04-20,9,Burning Daylight,Mia Nicolai,68
2023-04-20,10,Who the Hell Is Edgar?,TEYA,67
2023-04-20,11,My Sister's Crown,Vesna,67
2023-04-20,12,Because Of You,Gustaph,63
2023-04-20,13,Future Lover,Brunette,62
2023-04-20,14,Carpe Diem,Joker Out,62
2023-04-20,15,EAEA,Blanca Paloma,62
2023-04-20,16,Soarele si Luna,Pasha Parfeni,61
2023-04-20,17,Samo mi se spava,Luke Black,61
2023-04-20,18,Watergun,Remo Forrer,61
2023-04-20,19,Breaking My Heart,Reiley,61
2023-04-20,20,Heart of Steel - Eurovision Version,TVORCHI,60
2023-04-20,21,Ai Coração,Various Artists,60
2023-04-20,22,Bridges,ALIKA,60
2023-04-20,23,Break a Broken Heart,Andrew Lambrou,60
2023-04-20,24,Promise,Voyager,59
2023-04-20,25,POWER,Diljá,58
2023-04-20,26,Dance (Our Own Party),The Busker,58
2023-04-20,27,Aijā,Sudden Lights,58
2023-04-20,28,Mama ŠČ!,Let 3,58
2023-04-20,29,Echo - Eurovision 2023 - Georgia,Iru,57
2023-04-20,30,We Are One,Wild Youth,57
2023-04-20,31,Blood & Glitter,Lord Of The Lost,56
2023-04-20,32,What They Say,Victor Vernicos,56
2023-04-20,33,Stay,Monika Linkyte,55
2023-04-20,34,Tell Me More,TuralTuranX,55
2023-04-20,35,D.G.T (Off And On),Theodor Andrei,55
2023-04-20,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-04-20,37,Like an Animal,Piqued Jacks,48
