date,position,song,artist,popularity
2023-05-10,1,Tattoo,Loreen,84
2023-05-10,2,Queen of Kings,Alessandra,79
2023-05-10,3,Due Vite,Marco Mengoni,77
2023-05-10,4,Cha Cha Cha,Käärijä,74
2023-05-10,5,I Wrote A Song,Mae Muller,71
2023-05-10,6,Évidemment,La Zarra,71
2023-05-10,7,Solo,BLANKA,71
2023-05-10,8,Who the Hell Is Edgar?,TEYA,68
2023-05-10,9,Unicorn,Noa Kirel,68
2023-05-10,10,Burning Daylight,Mia Nicolai,68
2023-05-10,11,My Sister's Crown,Vesna,67
2023-05-10,12,Future Lover,Brunette,64
2023-05-10,13,Carpe Diem,Joker Out,63
2023-05-10,14,Because Of You,Gustaph,63
2023-05-10,15,Heart of Steel - Eurovision Version,TVORCHI,62
2023-05-10,16,Soarele si Luna,Pasha Parfeni,62
2023-05-10,17,Watergun,Remo Forrer,62
2023-05-10,18,Samo mi se spava,Luke Black,62
2023-05-10,19,EAEA,Blanca Paloma,62
2023-05-10,20,Ai Coração,Various Artists,61
2023-05-10,21,Break a Broken Heart,Andrew Lambrou,61
2023-05-10,22,Breaking My Heart,Reiley,61
2023-05-10,23,Promise,Voyager,60
2023-05-10,24,Bridges,ALIKA,60
2023-05-10,25,Dance (Our Own Party),The Busker,59
2023-05-10,26,POWER,Diljá,59
2023-05-10,27,Echo - Eurovision 2023 - Georgia,Iru,59
2023-05-10,28,Aijā,Sudden Lights,59
2023-05-10,29,We Are One,Wild Youth,58
2023-05-10,30,Blood & Glitter,Lord Of The Lost,58
2023-05-10,31,Mama ŠČ!,Let 3,58
2023-05-10,32,Stay,Monika Linkyte,57
2023-05-10,33,What They Say,Victor Vernicos,57
2023-05-10,34,Tell Me More,TuralTuranX,56
2023-05-10,35,D.G.T (Off And On),Theodor Andrei,56
2023-05-10,36,Like an Animal,Piqued Jacks,54
2023-05-10,37,Duje (Fest 61-live version),Albina dhe familja Kelmendi,53
