date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BETFAIR SPORT, BETSSON ,COMEON,BOYLE SPORTS,LAD BROKES, * SMARKETS,10BET,BETWAY,BET FRED, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-03-30,1,Sweden,Loreen - Tattoo,39%,1.8,1.75,2,2,2,1.85,1.8,1.83,1.73,1.99,1.8,1.91,2,1.83,1.8,2.1
2023-03-30,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.25,4.75,5,6,4.25,4,4.5,5,6.2,4,4.5,5,5,4.75,6.8
2023-03-30,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6.5,6.5,6.5,7,6,6.5,6,6.6,6,7.5,7,6,7.5,8.2
2023-03-30,4,Norway,Alessandra - Queen of Kings,6%,13,11,13,11,13,11,13,13,15,15,13,15,13,13,13,18
2023-03-30,5,Spain,Blanca Paloma - Eaea,4%,15,18,19,19,15,18,15,17,21,21,15,15,17,17,17,23
2023-03-30,6,Israel,Noa Kirel - Unicorn,3%,23,26,23,21,26,25,21,26,21,26,21,21,21,21,17,36
2023-03-30,7,Czechia,Vesna - My Sister's Crown,3%,23,31,23,26,23,25,26,26,29,27,26,26,26,26,34,30
2023-03-30,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,34,31,41,41,35,34,34,29,34,34,41,34,41,34,34
2023-03-30,9,United Kingdom,Mae Muller - I Wrote A Song,2%,41,41,51,34,41,40,34,34,26,60,34,26,41,26,34,70
2023-03-30,10,France,La Zarra - Évidemment,2%,51,51,51,41,51,50,41,51,41,70,41,34,51,41,51,85
2023-03-30,11,Armenia,Brunette - Future Lover,1%,56,81,67,81,67,75,51,67,51,85,51,41,67,51,34,100
2023-03-30,12,Italy,Marco Mengoni - Due vite,1%,67,81,51,67,81,65,51,67,51,90,51,51,51,67,51,110
2023-03-30,13,Switzerland,Remo Forrer - Watergun,1%,81,101,81,81,101,80,67,81,81,90,67,67,67,67,101,110
2023-03-30,14,Georgia,Iru - Echo,1%,91,81,81,101,101,85,67,81,67,200,67,81,101,67,67,200
2023-03-30,15,Serbia,Luke Black - Samo mi se spava,1%,101,101,101,126,151,100,101,101,81,250,101,101,101,101,101,250
2023-03-30,16,Moldova,Pasha Parfeni - Soarele și Luna,1%,126,101,101,151,151,125,101,126,101,180,101,126,101,101,101,160
2023-03-30,17,Croatia,Let 3 - Mama ŠČ!,1%,126,101,126,201,151,120,101,101,101,250,101,101,101,101,101,260
2023-03-30,18,Australia,Voyager - Promise,1%,126,201,101,151,101,150,101,126,151,210,101,126,101,101,101,230
2023-03-30,19,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151,151,101,151,151,150,151,126,151,120,151,151,101,151,101,130
2023-03-30,20,Germany,Lord Of The Lost - Blood & Glitter,1%,101,201,126,126,151,150,151,126,101,200,151,151,201,101,101,220
2023-03-30,21,Slovenia,Joker Out - Carpe Diem,<1%,126,151,151,151,151,100,101,201,101,270,101,251,201,126,101,320
2023-03-30,22,Estonia,Alika - Bridges,<1%,151,201,101,201,201,150,201,151,201,270,201,201,201,151,101,310
2023-03-30,23,Poland,Blanka - Solo,<1%,201,201,201,251,201,150,201,151,201,280,201,151,201,201,101,410
2023-03-30,24,Ireland,Wild Youth - We Are One,<1%,251,251,301,301,151,250,151,81,151,280,151,201,201,101,101,660
2023-03-30,25,Iceland,Diljá - Power,<1%,251,201,201,201,201,150,201,201,201,280,201,151,201,201,101,750
2023-03-30,26,Portugal,Mimicat - Ai Coração,<1%,251,201,251,301,201,250,201,201,201,280,201,201,201,151,101,540
2023-03-30,27,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,251,201,301,201,250,201,201,201,230,201,201,201,251,101,260
2023-03-30,28,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,201,301,301,251,250,151,201,201,290,151,151,201,251,101,890
2023-03-30,29,Greece,Victor Vernicos - What They Say,<1%,251,251,251,301,201,250,201,201,201,280,201,201,201,251,101,550
2023-03-30,30,Denmark,Reiley - Breaking My Heart,<1%,251,251,251,301,201,250,201,251,201,280,201,201,201,201,101,770
2023-03-30,31,Malta,The Busker - Dance (Our Own Party),<1%,251,251,301,501,251,200,201,201,201,290,201,251,201,201,101,1000
2023-03-30,32,Belgium,Gustaph - Because of You,<1%,251,251,301,401,251,250,251,251,201,290,251,251,201,201,101,1000
2023-03-30,33,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,301,501,251,250,251,251,251,290,251,301,201,151,101,1000
2023-03-30,34,Lithuania,Monika Linkytė - Stay,<1%,251,501,301,501,251,250,251,201,201,290,251,251,201,251,101,820
2023-03-30,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,501,251,250,251,251,251,290,251,176,201,251,101,1000
2023-03-30,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,301,501,251,300,251,201,251,290,251,301,201,251,301,1000
2023-03-30,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,501,251,300,251,251,251,290,251,301,201,201,301,1000
