date,position,country,song,winning chance,BET365,UNIBET,COOL BET,BETFAIR SPORT,SKY BET, BETSSON ,COMEON,BOYLE SPORTS,LAD BROKES,10BET, * SMARKETS,888 SPORT,BET FRED,BETWAY, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-03-24,1,Sweden,Loreen - Tattoo,39%,1.8,1.75,1.9,1.91,1.83,1.85,1.8,1.8,1.73,1.8,1.97,1.83,1.8,1.91,1.83,1.8,2.06
2023-03-24,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.5,4.5,5.5,6,4.5,4,4.5,5,4,6.4,5,5.5,4,4.5,5,7
2023-03-24,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6.5,6.5,6,7,6,6,6,6,7,5.5,6,7.5,5,7,8
2023-03-24,4,Norway,Alessandra - Queen of Kings,5%,15,11,13,15,9,12,13,15,15,13,17,13,17,19,13,13,19
2023-03-24,5,Israel,Noa Kirel - Unicorn,4%,17,23,23,21,23,20,19,17,21,19,24,21,21,23,13,17,34
2023-03-24,6,Spain,Blanca Paloma - Eaea,3%,21,23,21,17,23,20,21,21,23,21,20,23,23,21,23,21,22
2023-03-24,7,Czechia,Vesna - My Sister's Crown,2%,34,34,23,26,34,25,29,34,29,29,26,23,34,34,17,34,30
2023-03-24,8,United Kingdom,Mae Muller - I Wrote A Song,2%,29,34,41,34,26,35,29,23,26,29,48,26,26,26,17,34,60
2023-03-24,9,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,41,36,51,34,40,34,34,29,34,50,26,34,41,26,34,65
2023-03-24,10,France,La Zarra - Évidemment,2%,41,51,51,51,41,50,41,41,41,41,65,34,41,34,26,51,80
2023-03-24,11,Italy,Marco Mengoni - Due vite,1%,67,81,61,81,67,65,51,67,51,51,85,34,51,51,26,51,100
2023-03-24,12,Armenia,Brunette - Future Lover,1%,67,67,81,81,81,75,41,51,51,41,90,51,67,41,34,34,110
2023-03-24,13,Georgia,Iru - Echo,1%,67,67,81,81,67,70,67,67,67,67,110,41,34,26,29,67,140
2023-03-24,14,Switzerland,Remo Forrer - Watergun,1%,67,81,81,81,81,80,67,67,81,67,95,41,67,67,51,67,120
2023-03-24,15,Serbia,Luke Black - Samo mi se spava,1%,81,101,81,101,126,100,101,81,81,101,120,41,101,101,67,101,160
2023-03-24,16,Croatia,Let 3 - Mama ŠČ!,1%,101,101,101,151,126,120,101,101,101,101,160,34,101,101,41,101,190
2023-03-24,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,126,101,101,151,151,125,101,126,101,101,220,101,101,126,101,101,250
2023-03-24,18,Australia,Voyager - Promise,1%,126,201,101,151,151,150,101,126,151,101,190,101,101,126,34,101,220
2023-03-24,19,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151,151,151,151,201,150,151,126,151,151,210,101,101,151,34,101,240
2023-03-24,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,201,151,151,201,150,151,126,101,151,170,81,201,151,101,101,200
2023-03-24,21,Slovenia,Joker Out - Carpe Diem,<1%,81,151,151,251,201,100,101,201,101,101,120,151,201,251,67,101,160
2023-03-24,22,Estonia,Alika - Bridges,<1%,151,201,101,201,201,150,201,151,201,201,270,51,201,201,67,101,310
2023-03-24,23,Iceland,Diljá - Power,<1%,201,201,151,251,201,120,201,201,201,201,280,101,201,151,101,101,540
2023-03-24,24,Poland,Blanka - Solo,<1%,201,201,201,151,301,150,201,151,201,201,260,201,201,151,21,101,400
2023-03-24,25,Ireland,Wild Youth - We Are One,<1%,251,251,301,151,301,250,151,67,151,151,210,101,201,201,101,101,240
2023-03-24,26,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,201,301,201,201,250,151,201,201,151,280,101,201,151,101,101,890
2023-03-24,27,Portugal,Mimicat - Ai Coração,<1%,201,201,251,201,301,200,201,201,201,201,280,101,201,201,101,101,660
2023-03-24,28,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,251,201,251,301,250,201,201,201,201,280,67,201,201,101,101,520
2023-03-24,29,Greece,Victor Vernicos - What They Say,<1%,251,251,251,251,301,250,201,201,201,201,280,101,201,201,151,101,690
2023-03-24,30,Denmark,Reiley - Breaking My Heart,<1%,251,251,251,201,301,250,201,251,201,201,280,101,201,201,151,101,800
2023-03-24,31,Malta,The Busker - Dance (Our Own Party),<1%,251,251,301,251,501,200,201,201,201,201,280,151,201,251,151,101,760
2023-03-24,32,Belgium,Gustaph - Because of You,<1%,251,251,301,251,401,250,251,251,201,251,290,151,201,251,201,101,1000
2023-03-24,33,Lithuania,Monika Linkytė - Stay,<1%,251,501,301,251,501,250,251,201,201,251,290,101,201,251,101,101,1000
2023-03-24,34,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,301,251,501,250,251,251,251,251,290,151,201,301,151,101,1000
2023-03-24,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,251,501,250,251,251,251,251,290,151,201,176,151,101,1000
2023-03-24,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,301,251,501,300,251,201,251,251,290,201,201,301,251,301,1000
2023-03-24,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,251,501,300,251,251,251,251,290,151,201,301,201,301,1000
