date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET, BETSSON ,BETFAIR SPORT,BOYLE SPORTS,LAD BROKES,BET STARS,BWIN,BETWAY, * SMARKETS,10BET,COMEON, WILLIAM  HILL,BET FRED,BETFAIR*  EXCHANGE 
2023-04-20,1,Sweden,Loreen - Tattoo,42%,1.8,1.75,1.85,1.73,1.8,1.8,1.73,1.73,1.73,1.75,1.75,1.8,1.83,1.83,1.8,1.83,1.86
2023-04-20,2,Finland,Käärijä - Cha Cha Cha,18%,4.33,4.25,3.75,4.5,4.2,4.33,4.33,4,4.2,4.25,4,4.8,3.75,3.75,4.5,4.33,5.3
2023-04-20,3,Ukraine,Tvorchi - Heart of Steel,9%,7.5,9,9,11,9,8,10,8,8.5,8.5,9,9,7.5,7.5,8,8,13
2023-04-20,4,Spain,Blanca Paloma - Eaea,5%,12,19,13,15,15,15,13,12,12,13,12,18,12,12,15,13,20
2023-04-20,5,Norway,Alessandra - Queen of Kings,5%,17,17,15,13,17,18,15,13,13,15,17,17,15,15,15,17,20
2023-04-20,6,Israel,Noa Kirel - Unicorn,2%,29,41,29,41,30,34,26,29,34,26,29,42,21,21,34,34,65
2023-04-20,7,France,La Zarra - Évidemment,2%,31,31,36,34,35,34,34,34,34,26,34,29,34,34,26,34,36
2023-04-20,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,41,31,41,40,36,26,34,34,26,34,36,29,29,34,34,44
2023-04-20,9,Czechia,Vesna - My Sister's Crown,2%,36,51,51,67,40,34,34,34,34,34,34,48,34,34,41,34,65
2023-04-20,10,United Kingdom,Mae Muller - I Wrote A Song,2%,51,67,76,67,65,36,34,34,51,67,51,50,34,34,21,34,80
2023-04-20,11,Italy,Marco Mengoni - Due vite,1%,71,61,41,67,70,67,51,51,67,51,67,75,51,51,41,51,95
2023-04-20,12,Armenia,Brunette - Future Lover,1%,81,81,67,101,80,81,67,67,81,67,81,130,67,67,101,67,170
2023-04-20,13,Switzerland,Remo Forrer - Watergun,1%,126,101,101,126,125,81,81,101,101,101,126,210,81,81,101,101,250
2023-04-20,14,Serbia,Luke Black - Samo mi se spava,1%,201,151,101,151,150,101,101,126,151,101,151,200,101,101,101,101,400
2023-04-20,15,Australia,Voyager - Promise,1%,201,151,151,151,150,101,126,151,101,101,151,260,101,101,101,101,350
2023-04-20,16,Georgia,Iru - Echo,1%,201,201,101,201,200,81,101,126,101,101,126,270,81,81,101,101,700
2023-04-20,17,Croatia,Let 3 - Mama ŠČ!,1%,151,201,151,201,150,101,101,126,151,101,151,230,101,101,101,101,270
2023-04-20,18,Moldova,Pasha Parfeni - Soarele și Luna,1%,201,201,126,151,200,126,126,126,176,101,151,260,101,101,101,101,430
2023-04-20,19,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151,201,176,201,150,176,126,151,151,101,126,270,101,101,101,101,500
2023-04-20,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,151,201,151,200,101,151,126,151,201,151,260,151,151,101,101,300
2023-04-20,21,Slovenia,Joker Out - Carpe Diem,<1%,201,201,126,201,200,151,201,126,176,101,151,260,101,101,126,201,380
2023-04-20,22,Estonia,Alika - Bridges,<1%,251,251,151,201,200,151,151,201,201,101,201,270,151,151,151,201,750
2023-04-20,23,Cyprus,A. Lambrou - Break a Broken Heart,<1%,201,251,201,201,200,201,201,201,201,201,201,270,201,201,251,201,500
2023-04-20,24,Poland,Blanka - Solo,<1%,251,301,251,251,250,201,151,201,201,201,251,300,201,201,201,201,750
2023-04-20,25,Iceland,Diljá - Power,<1%,251,401,251,251,200,201,201,251,201,201,251,280,201,201,201,201,1000
2023-04-20,26,Portugal,Mimicat - Ai Coração,<1%,251,401,251,301,250,151,201,251,201,201,251,280,201,201,151,201,1000
2023-04-20,27,Ireland,Wild Youth - We Are One,<1%,251,501,351,501,250,126,81,151,201,301,251,270,151,151,101,126,900
2023-04-20,28,Lithuania,Monika Linkytė - Stay,<1%,201,401,201,301,250,251,251,201,251,201,251,280,251,251,251,201,1000
2023-04-20,29,Denmark,Reiley - Breaking My Heart,<1%,251,501,276,301,250,201,251,251,201,201,251,280,201,201,201,201,1000
2023-04-20,30,Greece,Victor Vernicos - What They Say,<1%,251,401,301,301,250,201,251,201,201,301,251,270,201,201,251,201,870
2023-04-20,31,Belgium,Gustaph - Because of You,<1%,251,501,351,301,250,201,251,201,251,301,251,280,251,251,201,201,1000
2023-04-20,32,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,501,301,501,250,251,251,251,251,301,251,280,151,151,251,201,1000
2023-04-20,33,San Marino,Piqued Jacks - Like An Animal,<1%,251,501,351,501,250,151,251,251,251,301,301,280,251,251,151,201,1000
2023-04-20,34,Malta,The Busker - Dance (Our Own Party),<1%,251,501,351,501,250,251,251,251,301,301,301,280,201,201,201,201,1000
2023-04-20,35,Latvia,Sudden Lights - Aijā,<1%,251,501,501,501,250,251,251,251,251,201,251,280,251,251,251,201,1000
2023-04-20,36,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,501,501,300,201,251,251,251,301,301,280,251,251,201,201,1000
2023-04-20,37,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,501,501,300,251,251,251,251,301,301,280,251,251,251,201,1000
