date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET, BETSSON ,BETFAIR SPORT,BOYLE SPORTS,LAD BROKES,BET STARS,COMEON, * SMARKETS,BET FRED,10BET,BETWAY, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-04-18,1,Sweden,Loreen - Tattoo,40%,1.8,1.85,1.85,1.91,1.85,1.8,1.83,1.73,1.8,1.83,1.93,1.83,1.83,1.91,1.83,1.8,1.99
2023-04-18,2,Finland,Käärijä - Cha Cha Cha,18%,4,3.8,4,4.5,3.85,4.33,4,4.33,4.2,3.75,5.2,4,3.75,4,4.33,4.5,5.5
2023-04-18,3,Ukraine,Tvorchi - Heart of Steel,9%,7.5,8,9,10,8,8,8.5,8,8.5,7.5,8,8,7.5,9,7,9,10
2023-04-18,4,Spain,Blanca Paloma - Eaea,5%,12,17,12,15,13,17,13,12,17,12,16,13,12,13,13,13,17
2023-04-18,5,Norway,Alessandra - Queen of Kings,5%,17,17,15,17,15,19,15,13,19,15,22,13,15,17,15,17,27
2023-04-18,6,Israel,Noa Kirel - Unicorn,3%,29,31,26,34,30,34,23,26,41,21,34,21,21,26,21,26,48
2023-04-18,7,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,29,31,29,34,30,36,26,29,34,29,50,26,29,26,29,26,65
2023-04-18,8,France,La Zarra - Évidemment,2%,34,41,41,41,35,34,34,34,34,34,38,26,34,34,26,34,44
2023-04-18,9,Czechia,Vesna - My Sister's Crown,2%,34,41,51,51,45,34,34,34,34,34,48,26,34,29,26,26,60
2023-04-18,10,United Kingdom,Mae Muller - I Wrote A Song,2%,51,61,76,67,60,36,34,34,51,34,48,41,34,34,26,34,70
2023-04-18,11,Italy,Marco Mengoni - Due vite,1%,71,61,41,67,70,67,51,51,67,51,85,51,51,67,41,51,100
2023-04-18,12,Armenia,Brunette - Future Lover,1%,81,81,67,101,80,81,67,67,81,67,150,67,67,67,67,67,160
2023-04-18,13,Switzerland,Remo Forrer - Watergun,1%,126,101,101,126,125,81,81,101,101,81,230,67,81,81,67,101,240
2023-04-18,14,Serbia,Luke Black - Samo mi se spava,1%,201,126,101,151,150,101,101,126,151,101,270,101,101,101,101,101,380
2023-04-18,15,Georgia,Iru - Echo,1%,201,151,101,201,200,81,101,126,101,81,280,101,81,101,67,101,590
2023-04-18,16,Netherlands,Nicolai & Cooper - Burning Daylight,1%,126,126,101,151,125,176,126,151,151,101,270,101,101,151,67,101,350
2023-04-18,17,Croatia,Let 3 - Mama ŠČ!,1%,151,151,126,201,150,101,101,126,151,101,270,101,101,101,101,101,320
2023-04-18,18,Australia,Voyager - Promise,1%,201,151,151,151,150,101,126,151,101,101,270,101,101,126,101,101,350
2023-04-18,19,Moldova,Pasha Parfeni - Soarele și Luna,1%,201,151,126,151,200,126,126,126,176,101,270,101,101,126,101,101,430
2023-04-18,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,151,201,151,200,101,151,126,151,151,270,201,151,151,101,101,350
2023-04-18,21,Slovenia,Joker Out - Carpe Diem,<1%,201,151,126,201,200,151,201,126,176,101,270,201,101,101,126,101,350
2023-04-18,22,Estonia,Alika - Bridges,<1%,251,201,151,201,200,151,151,201,201,151,280,201,151,201,151,101,650
2023-04-18,23,Cyprus,A. Lambrou - Break a Broken Heart,<1%,201,201,201,201,200,201,201,201,201,201,280,201,201,201,251,101,470
2023-04-18,24,Poland,Blanka - Solo,<1%,251,251,251,251,250,201,151,201,201,201,300,201,201,151,201,101,750
2023-04-18,25,Iceland,Diljá - Power,<1%,251,301,251,251,200,201,201,251,201,201,290,201,201,151,201,101,1000
2023-04-18,26,Portugal,Mimicat - Ai Coração,<1%,251,301,251,301,250,151,201,251,201,201,290,201,201,201,151,101,540
2023-04-18,27,Ireland,Wild Youth - We Are One,<1%,251,501,351,501,250,126,81,151,201,151,290,126,151,201,101,101,770
2023-04-18,28,Greece,Victor Vernicos - What They Say,<1%,251,301,301,301,250,201,251,201,201,201,290,201,201,201,251,101,870
2023-04-18,29,Lithuania,Monika Linkytė - Stay,<1%,201,301,201,301,250,251,251,201,251,251,290,201,251,251,251,101,1000
2023-04-18,30,Denmark,Reiley - Breaking My Heart,<1%,251,501,276,301,250,201,251,251,201,201,290,201,201,201,201,101,1000
2023-04-18,31,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,501,301,501,250,251,251,251,251,151,290,201,151,151,251,101,1000
2023-04-18,32,Belgium,Gustaph - Because of You,<1%,251,501,351,301,250,201,251,201,251,251,290,201,251,251,201,101,1000
2023-04-18,33,San Marino,Piqued Jacks - Like An Animal,<1%,251,501,351,501,250,151,251,251,251,251,290,201,251,301,151,101,1000
2023-04-18,34,Malta,The Busker - Dance (Our Own Party),<1%,251,501,351,501,250,251,251,251,301,201,290,201,201,251,201,101,1000
2023-04-18,35,Latvia,Sudden Lights - Aijā,<1%,251,501,501,501,250,251,251,251,251,251,290,201,251,201,251,101,1000
2023-04-18,36,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,501,501,300,201,251,251,251,251,290,201,251,301,201,301,1000
2023-04-18,37,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,501,501,300,251,251,251,251,251,290,201,251,301,251,301,1000
