date,position,country,song,winning chance,BET365,UNIBET,888 SPORT,COOL BET,SKY BET,BETFAIR SPORT,BOYLE SPORTS, BETSSON ,BET FRED, * SMARKETS,COMEON,LAD BROKES,10BET,BETWAY, WILLIAM  HILL,BETFAIR*  EXCHANGE 
2023-04-02,1,Sweden,Loreen - Tattoo,39%,1.8,1.75,1.83,1.9,2,2,1.83,1.85,2,1.97,1.8,1.73,1.8,1.91,1.83,2.06
2023-04-02,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.25,5,4.5,5,6,4.5,4.25,5,6.8,4,5,4,4.5,5,6.8
2023-04-02,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6,6.5,7.5,6.5,6.5,7,7,6.8,6,6,6,7.5,6,8.6
2023-04-02,4,Norway,Alessandra - Queen of Kings,6%,13,11,13,13,12,13,13,11,13,16,13,15,13,15,13,19
2023-04-02,5,Spain,Blanca Paloma - Eaea,4%,15,18,17,19,21,15,17,18,17,20,15,17,15,15,17,23
2023-04-02,6,Israel,Noa Kirel - Unicorn,3%,23,26,21,23,21,26,26,25,21,25,21,21,21,21,21,34
2023-04-02,7,Czechia,Vesna - My Sister's Crown,3%,23,31,23,31,26,23,26,25,26,44,26,29,26,26,26,50
2023-04-02,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,26,34,26,31,29,31,26,35,26,36,29,29,29,41,41,42
2023-04-02,9,United Kingdom,Mae Muller - I Wrote A Song,2%,51,41,26,51,41,41,34,40,41,85,34,26,34,26,26,100
2023-04-02,10,France,La Zarra - Évidemment,2%,51,51,34,41,51,51,51,50,51,50,41,41,41,34,41,65
2023-04-02,11,Italy,Marco Mengoni - Due vite,1%,51,81,34,41,67,67,51,50,51,55,51,51,51,51,67,70
2023-04-02,12,Armenia,Brunette - Future Lover,1%,67,81,51,81,101,67,81,75,67,110,51,51,51,41,67,140
2023-04-02,13,Switzerland,Remo Forrer - Watergun,1%,81,101,41,81,126,101,81,80,67,140,67,81,67,67,67,160
2023-04-02,14,Georgia,Iru - Echo,1%,101,81,41,101,151,101,101,85,101,200,67,67,67,81,67,190
2023-04-02,15,Moldova,Pasha Parfeni - Soarele și Luna,1%,101,101,101,101,151,151,126,125,101,210,101,101,101,126,101,230
2023-04-02,16,Serbia,Luke Black - Samo mi se spava,1%,151,101,101,126,151,151,101,100,101,260,101,81,101,101,101,250
2023-04-02,17,Netherlands,Nicolai & Cooper - Burning Daylight,1%,81,151,101,81,126,101,126,150,101,120,101,151,101,151,151,150
2023-04-02,18,Croatia,Let 3 - Mama ŠČ!,1%,151,101,101,126,201,151,101,120,101,240,101,101,101,101,101,230
2023-04-02,19,Australia,Voyager - Promise,1%,151,201,101,101,151,101,126,150,101,220,101,151,101,126,101,230
2023-04-02,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,201,101,126,151,151,126,150,201,210,151,101,151,151,101,220
2023-04-02,21,Slovenia,Joker Out - Carpe Diem,<1%,176,151,151,151,201,151,201,100,201,270,101,101,101,101,126,340
2023-04-02,22,Estonia,Alika - Bridges,<1%,176,201,51,126,201,201,151,150,201,270,201,201,201,201,151,200
2023-04-02,23,Ireland,Wild Youth - We Are One,<1%,251,251,101,301,301,151,81,250,201,280,151,151,151,201,101,730
2023-04-02,24,Iceland,Diljá - Power,<1%,251,201,101,151,251,201,201,150,201,280,201,201,201,151,201,660
2023-04-02,25,Poland,Blanka - Solo,<1%,201,201,201,251,251,201,151,150,201,270,201,201,201,151,201,410
2023-04-02,26,Portugal,Mimicat - Ai Coração,<1%,251,201,101,251,301,201,251,250,201,280,201,201,201,201,151,620
2023-04-02,27,Cyprus,Andrew Lambrou - Break a Broken Heart,<1%,251,251,251,201,201,201,201,250,201,270,201,201,201,201,251,250
2023-04-02,28,Denmark,Reiley - Breaking My Heart,<1%,251,251,101,251,301,201,251,250,201,280,201,201,201,201,201,750
2023-04-02,29,Greece,Victor Vernicos - What They Say,<1%,251,251,101,251,301,201,251,250,201,290,201,201,201,201,251,550
2023-04-02,30,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,201,101,301,501,251,251,250,201,290,151,201,151,151,251,890
2023-04-02,31,Belgium,Gustaph - Because of You,<1%,251,251,151,301,301,251,251,250,201,290,251,201,251,251,201,1000
2023-04-02,32,Malta,The Busker - Dance (Our Own Party),<1%,251,251,151,301,501,251,251,200,201,290,201,201,201,251,201,1000
2023-04-02,33,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,151,301,501,251,251,250,201,290,251,251,251,301,151,1000
2023-04-02,34,Lithuania,Monika Linkytė - Stay,<1%,251,501,101,301,501,251,251,250,201,280,251,201,251,251,251,820
2023-04-02,35,Latvia,Sudden Lights - Aijā,<1%,251,501,151,301,501,251,251,250,201,290,251,251,251,176,251,1000
2023-04-02,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,201,301,501,251,251,300,201,290,251,251,251,301,251,1000
2023-04-02,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,151,301,501,251,251,300,201,290,251,251,251,301,201,1000
